TEXAS COUNTYS,DEMOCRATIC VOTES,REPUBLICAN VOTES,TOTAL VOTES BY COUNTY
STARR,9123,8247,17370
STEPHENS,397,3385,3782
STERLING,51,584,635
STONEWALL,116,615,731
SUTTON,322,1222,1544
SWISHER,478,1845,2323
TARRANT,411567,409741,821308
TAYLOR,14588,39547,54135
TERRELL,119,334,453
TERRY,757,2812,3569
THROCKMORTON,82,806,888
TITUS,2856,7570,10426
TOM GREEN,12239,32313,44552
TRAVIS,435860,161337,597197
TRINITY,1323,5579,6902
TYLER,1403,8194,9597
UPSHUR,2877,15809,18686
UPTON,170,1178,1348
UVALDE,4073,6174,10247
VAL VERDE,6771,8284,15055
VAN ZANDT,3516,22270,25786
VICTORIA,10380,23358,33738
WALKER,7884,15375,23259
WALLER,8191,14260,22451
WARD,764,3241,4005
WASHINGTON,4261,12959,17220
WEBB,41820,25898,67718
WHARTON,4694,11926,16620
WHEELER,168,2159,2327
WICHITA,13161,32069,45230
WILBARGER,956,3524,4480
WILLACY,3108,2441,5549
WILLIAMSON,143795,139729,283524
WILSON,6350,18463,24813
WINKLER,358,1753,2111
WISE,4973,27032,32005
WOOD,3509,19049,22558
YOAKUM,420,2174,2594
YOUNG,1034,7110,8144
ZAPATA,1826,2033,3859
ZAVALA,2864,1490,4354
Grand Total,5259126,5890347,11149473
