PARTY,COUNTY NAME,TOTAL VOTES
REPUBLICAN,FLOYD,"1,584"
DEMOCRATIC,FOARD,99
REPUBLICAN,FOARD,445
DEMOCRATIC,FORT BEND,"195,552"
REPUBLICAN,FORT BEND,"157,718"
DEMOCRATIC,FRANKLIN,804
REPUBLICAN,FRANKLIN,"4,161"
DEMOCRATIC,FREESTONE,"1,635"
REPUBLICAN,FREESTONE,"6,991"
DEMOCRATIC,FRIO,"2,422"
REPUBLICAN,FRIO,"2,823"
DEMOCRATIC,GAINES,576
REPUBLICAN,GAINES,"5,355"
DEMOCRATIC,GALVESTON,"58,842"
REPUBLICAN,GALVESTON,"93,911"
DEMOCRATIC,GARZA,231
REPUBLICAN,GARZA,"1,413"
DEMOCRATIC,GILLESPIE,"3,176"
REPUBLICAN,GILLESPIE,"12,514"
DEMOCRATIC,GLASSCOCK,39
REPUBLICAN,GLASSCOCK,611
DEMOCRATIC,GOLIAD,877
REPUBLICAN,GOLIAD,"3,085"
DEMOCRATIC,GONZALES,"1,948"
REPUBLICAN,GONZALES,"5,627"
DEMOCRATIC,GRAY,829
REPUBLICAN,GRAY,"6,840"
DEMOCRATIC,GRAYSON,"14,506"
REPUBLICAN,GRAYSON,"44,163"
DEMOCRATIC,GREGG,"14,796"
REPUBLICAN,GREGG,"32,493"
DEMOCRATIC,GRIMES,"2,833"
REPUBLICAN,GRIMES,"9,432"
DEMOCRATIC,GUADALUPE,"28,805"
REPUBLICAN,GUADALUPE,"47,553"
DEMOCRATIC,HALE,"2,279"
REPUBLICAN,HALE,"7,177"
DEMOCRATIC,HALL,168
REPUBLICAN,HALL,995
DEMOCRATIC,HAMILTON,641
REPUBLICAN,HAMILTON,"3,616"
DEMOCRATIC,HANSFORD,166
REPUBLICAN,HANSFORD,"1,849"
DEMOCRATIC,HARDEMAN,241
REPUBLICAN,HARDEMAN,"1,330"
DEMOCRATIC,HARDIN,"3,474"
REPUBLICAN,HARDIN,"23,858"
DEMOCRATIC,HARRIS,"918,193"
REPUBLICAN,HARRIS,"700,630"
DEMOCRATIC,HARRISON,"7,908"
REPUBLICAN,HARRISON,"21,466"
DEMOCRATIC,HARTLEY,195
REPUBLICAN,HARTLEY,"1,868"
DEMOCRATIC,HASKELL,353
REPUBLICAN,HASKELL,"1,840"
DEMOCRATIC,HAYS,"59,524"
REPUBLICAN,HAYS,"47,680"
DEMOCRATIC,HEMPHILL,206
REPUBLICAN,HEMPHILL,"1,486"
DEMOCRATIC,HENDERSON,"7,060"
REPUBLICAN,HENDERSON,"28,911"
DEMOCRATIC,HIDALGO,"128,199"
REPUBLICAN,HIDALGO,"90,527"
DEMOCRATIC,HILL,"2,860"
REPUBLICAN,HILL,"11,926"
DEMOCRATIC,HOCKLEY,"1,482"
REPUBLICAN,HOCKLEY,"6,536"
DEMOCRATIC,HOOD,"5,648"
REPUBLICAN,HOOD,"26,496"
DEMOCRATIC,HOPKINS,"3,046"
REPUBLICAN,HOPKINS,"12,719"
DEMOCRATIC,HOUSTON,"2,314"
REPUBLICAN,HOUSTON,"7,060"
DEMOCRATIC,HOWARD,"2,069"
REPUBLICAN,HOWARD,"8,054"
DEMOCRATIC,HUDSPETH,371
REPUBLICAN,HUDSPETH,779
DEMOCRATIC,HUNT,"8,906"
REPUBLICAN,HUNT,"29,163"
DEMOCRATIC,HUTCHINSON,965
REPUBLICAN,HUTCHINSON,"7,681"
DEMOCRATIC,IRION,120
REPUBLICAN,IRION,759
DEMOCRATIC,JACK,331
REPUBLICAN,JACK,"3,418"
DEMOCRATIC,JACKSON,"1,033"
REPUBLICAN,JACKSON,"5,231"
DEMOCRATIC,JASPER,"2,954"
REPUBLICAN,JASPER,"12,542"
DEMOCRATIC,JEFF DAVIS,501
REPUBLICAN,JEFF DAVIS,784
DEMOCRATIC,JEFFERSON,"46,073"
REPUBLICAN,JEFFERSON,"47,570"
DEMOCRATIC,JIM HOGG,"1,197"
REPUBLICAN,JIM HOGG,833
DEMOCRATIC,JIM WELLS,"6,119"
REPUBLICAN,JIM WELLS,"7,453"
DEMOCRATIC,JOHNSON,"16,464"
REPUBLICAN,JOHNSON,"54,628"
DEMOCRATIC,JONES,999
REPUBLICAN,JONES,"5,660"
DEMOCRATIC,KARNES,"1,234"
REPUBLICAN,KARNES,"3,968"
DEMOCRATIC,KAUFMAN,"18,405"
REPUBLICAN,KAUFMAN,"37,624"
DEMOCRATIC,KENDALL,"6,020"
REPUBLICAN,KENDALL,"20,083"
DEMOCRATIC,KENEDY,65
REPUBLICAN,KENEDY,127
DEMOCRATIC,KENT,47
REPUBLICAN,KENT,411
DEMOCRATIC,KERR,"6,524"
REPUBLICAN,KERR,"20,879"
DEMOCRATIC,KIMBLE,284
REPUBLICAN,KIMBLE,"1,987"
DEMOCRATIC,KING,8
REPUBLICAN,KING,151
DEMOCRATIC,KINNEY,446
REPUBLICAN,KINNEY,"1,144"
DEMOCRATIC,KLEBERG,"5,314"
REPUBLICAN,KLEBERG,"5,504"
DEMOCRATIC,KNOX,265
REPUBLICAN,KNOX,"1,180"
DEMOCRATIC,LAMAR,"4,458"
REPUBLICAN,LAMAR,"16,760"
DEMOCRATIC,LAMB,840
REPUBLICAN,LAMB,"3,521"
DEMOCRATIC,LAMPASAS,"2,144"
REPUBLICAN,LAMPASAS,"8,086"
DEMOCRATIC,LASALLE,"1,052"
REPUBLICAN,LASALLE,"1,335"
DEMOCRATIC,LAVACA,"1,333"
REPUBLICAN,LAVACA,"8,804"
DEMOCRATIC,LEE,"1,750"
REPUBLICAN,LEE,"6,255"
DEMOCRATIC,LEON,"1,072"
REPUBLICAN,LEON,"7,523"
DEMOCRATIC,LIBERTY,"5,785"
REPUBLICAN,LIBERTY,"23,302"
DEMOCRATIC,LIMESTONE,"2,213"
REPUBLICAN,LIMESTONE,"6,789"
DEMOCRATIC,LIPSCOMB,131
REPUBLICAN,LIPSCOMB,"1,205"
DEMOCRATIC,LIVE OAK,819
REPUBLICAN,LIVE OAK,"4,199"
DEMOCRATIC,LLANO,"2,465"
REPUBLICAN,LLANO,"10,079"
DEMOCRATIC,LOVING,4
REPUBLICAN,LOVING,60
DEMOCRATIC,LUBBOCK,"40,017"
REPUBLICAN,LUBBOCK,"78,861"
DEMOCRATIC,LYNN,428
REPUBLICAN,LYNN,"1,853"
DEMOCRATIC,MADISON,"1,088"
REPUBLICAN,MADISON,"4,169"
DEMOCRATIC,MARION,"1,339"
REPUBLICAN,MARION,"3,470"
DEMOCRATIC,MARTIN,288
REPUBLICAN,MARTIN,"1,857"
DEMOCRATIC,MASON,457
REPUBLICAN,MASON,"1,991"
DEMOCRATIC,MATAGORDA,"3,733"
