TEXAS_COUNTYS,,DEMOCRATIC,REPUBLICAN
PRESIDIO,Presidio,1463,721
RAINS,Rains,842,5155
RANDALL,Randall,12802,50796
REAGAN,Reagan,172,942
REAL,Real,320,1643
RED RIVER,Red River,1246,4517
REEVES,Reeves,1395,2254
REFUGIO,Refugio,1108,2210
ROBERTS,Roberts,17,529
ROBERTSON,Robertson,2374,5646
ROCKWALL,Rockwall,16412,36726
RUNNELS,Runnels,552,3807
RUSK,Rusk,4629,16534
SABINE,Sabine,669,4784
SAN AUGUSTINE,San Augustine,980,3007
SAN JACINTO,San Jacinto,2337,10161
SAN PATRICIO,San Patricio,8988,16516
SAN SABA,San Saba,287,2308
SCHLEICHER,Schleicher,211,940
SCURRY,Scurry,818,4983
SHACKELFORD,Shackelford,130,1484
SHELBY,Shelby,2068,7975
SHERMAN,Sherman,91,886
SMITH,Smith,29615,69080
SOMERVELL,Somervell,768,4105
STARR,Starr,9123,8247
STEPHENS,Stephens,397,3385
STERLING,Sterling,51,584
STONEWALL,Stonewall,116,615
SUTTON,Sutton,322,1222
SWISHER,Swisher,478,1845
TARRANT,Tarrant,411567,409741
TAYLOR,Taylor,14588,39547
TERRELL,Terrell,119,334
TERRY,Terry,757,2812
THROCKMORTON,Throckmorton,82,806
TITUS,Titus,2856,7570
TOM GREEN,Tom Green,12239,32313
TRAVIS,Travis,435860,161337
TRINITY,Trinity,1323,5579
TYLER,Tyler,1403,8194
UPSHUR,Upshur,2877,15809
UPTON,Upton,170,1178
UVALDE,Uvalde,4073,6174
VAL VERDE,Val Verde,6771,8284
VAN ZANDT,Van Zandt,3516,22270
VICTORIA,Victoria,10380,23358
WALKER,Walker,7884,15375
WALLER,Waller,8191,14260
WARD,Ward,764,3241
WASHINGTON,Washington,4261,12959
WEBB,Webb,41820,25898
WHARTON,Wharton,4694,11926
WHEELER,Wheeler,168,2159
WICHITA,Wichita,13161,32069
WILBARGER,Wilbarger,956,3524
WILLACY,Willacy,3108,2441
WILLIAMSON,Williamson,143795,139729
WILSON,Wilson,6350,18463
WINKLER,Winkler,358,1753
WISE,Wise,4973,27032
WOOD,Wood,3509,19049
YOAKUM,Yoakum,420,2174
YOUNG,Young,1034,7110
ZAPATA,Zapata,1826,2033
ZAVALA,Zavala,2864,1490
Grand Total,,5259126,5890347
